a_beats_latest_m_on_test,note,tau_a,tau_m,test_a_false_positive_rate,test_a_fn,test_a_fp,test_a_precision,test_a_recall,test_a_tn,test_a_tp,test_m_false_positive_rate,test_m_fn,test_m_fp,test_m_precision,test_m_recall,test_m_tn,test_m_tp,train_n,train_positives,w
0,,0.007811326423313808,0.08126783836563016,0.15294117647058825,72,13,0.5517241379310345,0.18181818181818182,72,16,1.0,5,85,0.49404761904761907,0.9431818181818182,0,83,34,21,5
0,,0.002854138500826192,0.11927294577136849,0.7142857142857143,26,35,0.7265625,0.7815126050420168,14,93,1.0,6,49,0.6975308641975309,0.9495798319327731,0,113,29,21,10
